weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
1,Viking,THE HILL WE CLIMB,Amanda Gorman,by Amanda Gorman,,2021-04-18,Hardcover Fiction
9,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-04-18,Hardcover Fiction
1,"Little, Brown",THE RED BOOK,James Patterson and David Ellis,by James Patterson and David Ellis,,2021-04-18,Hardcover Fiction
18,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-04-18,Hardcover Fiction
5,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-04-18,Hardcover Fiction
23,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-04-18,Hardcover Fiction
3,Grand Central,WIN,Harlan Coben,by Harlan Coben,,2021-04-18,Hardcover Fiction
5,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-04-18,Hardcover Fiction
5,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-04-18,Hardcover Fiction
1,Ballantine,SUNFLOWER SISTERS,Martha Hall Kelly,by Martha Hall Kelly,,2021-04-18,Hardcover Fiction
2,Putnam,ETERNAL,Lisa Scottoline,by Lisa Scottoline,,2021-04-18,Hardcover Fiction
44,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-04-18,Hardcover Fiction
1,Flatiron,OF WOMEN AND SALT,Gabriela Garcia,by Gabriela Garcia,,2021-04-18,Hardcover Fiction
5,Holt,WE BEGIN AT THE END,Chris Whitaker,by Chris Whitaker,,2021-04-18,Hardcover Fiction
6,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-04-18,Hardcover Fiction
8,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-04-11,Hardcover Fiction
17,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-04-11,Hardcover Fiction
2,Grand Central,WIN,Harlan Coben,by Harlan Coben,,2021-04-11,Hardcover Fiction
1,Putnam,ETERNAL,Lisa Scottoline,by Lisa Scottoline,,2021-04-11,Hardcover Fiction
4,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-04-11,Hardcover Fiction
1,Harper,THE CONSEQUENCES OF FEAR,Jacqueline Winspear,by Jacqueline Winspear,,2021-04-11,Hardcover Fiction
